Team,Region,Future use,Requieres realease?,Future containment,"In case of release, would the organism or parts spread autonomously?",Containment measures,Answer on question 16,Project goal
 Aix-Marseille,Europe,"Natural environment,Other",Yes,Open release ,No-contained,Killswitch,"As it was written before, our engineered organism won't be able to spread randomly in the environment. In fact, we designed a timer system that will kill the bacteria if the toxins are expressed, that will eliminate the risk of transmission. Plus, we are working on a biocontainment system to be sure that our project will not be spread in the environment without control. Therefore, it would be interesting if our designed bacteria could spread from an infected mosquito to another, it is why we chose to modify a gonado microbiota bacteria.",Genetically modified bacteria that produces toxins for a mosquito.
Athens,Europe,Only lab,No,Fully Contained,No-contained,Reduced survivality,Due to the high dNTP pools we expect low reproduction of the bacterial culture which means that the genetically engineered strain could not survive outside ideal lab conditions. Additionally our projects is focused on sending this organisms on laboratories where they would be autoclaved and disposed properly without release to the environment.,Overexpression of ribonucleotide reductase (RNR) and thymidylate synthase (TSase) enzymes for dNTPs production.
Bielefeld-CeBiTec,Europe,"Natural environment,Field Use",No,Open release ,NEI,NEI,"No, we plan to engineer sterile plants, so that they can be sown on contaminated areas, without endangering the surrounding environment. Nevertheless, for the release, further safety mechanisms are required to prevent the uncontroled spread of the GMOs. ",Engineered plants to detect chemicals related to chemical weapons.
BOKU-Vienna,Europe,Human body or food,No,Partially Contained,No-contained,"Killswitch,Physical containment","Our finished organism could spread in the human gut and then spread into the environment. To avoid this we will implement a physical barrier in the form of a biocontainer, as well as a kill switch, which would activate and kill the organism after a set number of replications.","More precisicly we will use Lactobacillus plantarum and engineer it to produce endo inulinase, (Invertase)Sucrose-6-phosphate hydrolase and Levanase."
Bonn-Rheinbach,Europe,"In a factory,Consumer product,Small enclosed device",No,Partially Contained,Yes-possible,None,This would not happen in the case of this Project since the bacteria themselves would only be used in a laboratory setting.,The Goal is to heterologously produce the protein LanModulin in E.Coli via the T7-system. After purification of the protein we want to use it to extract Lanthanides out of ores and minerals.
Brno_Czech_Republic,Europe,"Small enclosed device,Natural environment,Biosensor",No,NEI,NEI,None,"Our genetically modified bacteria will be embedded in biofilm, which will be organized in a suitable shape by 3D printing to maximize efficiency of phosphate harvesting but it should also minimalize the risk of spreading bacteria to the surrounding. In future we will focus on the analysis of biofilm properties  We are planning to use different encapsulation strategies to be sure that bacteria do not spread.",Modified Bacillus subtilis to harvest phosphate from the environment and accumulate it in the form of polyphosphate chains in bacterial microcompartments (BMC).
Bulgaria,Europe,Only lab,No,Fully Contained,NEI,None,"In the unlikely case that some of our E. coli cells enter the environment accidentally, it will not be a serious issue since all parts used will be isolated from natural sources (max level 2 organisms from water samples). No new genes for antibiotic resistance will be generated and/or released.",Genetic determinats for antibiotic resistance test system
Chalmers-Gothenburg,Europe,"Foundational,In a factory",No,Fully Contained,No-contained,Auxotrophy,"Highly unlikely as the added auxotrophic factors make the organisms less competitive in a natural environment.
Auxotrophic factors:
URA3
Leu2
His3

These three factors were chosen since they were available in the Chalmers sysbio lab and we have three different induction systems on one plasmid each which are to be integrated.",Program bacterial expression trough 3 induction systems
City_of_London_UK,Europe,"Small enclosed device,Biosensor,Cell-Free",Yes,Fully Contained,No-no-organisms,None,"No. Firstly, the test itself will not have E. Coli. It will be a cell free toehold-switch system.  Secondly, the E. Coli K12 JM109 is a lab strand and has very low transmission rates.",Biosensor? for pre-eclampsia
Crete,Europe,Human body or food,Yes,NEI,No-unable,None,The final product of our project will be Lactuca sativa leaves that will transiently express the chimeric protein. Lactuca sativa leaves can not spread autonomously in the environment.,Production of S1 subunit of covid in lettuce?
DTU-Denmark,Europe,Consumer product,No,Fully Contained,No-contained,Reduced survivality,"The K. phaffii delta Ku70 is deficient in the Non-Homologous Repair pathway, used for repairing double stranded breaks of DNA. Exposure to any external stressors such as exposure to UV irradiation will cause DNA damage that will have a very low chance of being repaired in vivo without the presence of a homologous repair template. The fitness of our engineered K. phaffii delta Ku70 will therefore be controllable to an extent, as the Ku70 gene knockout serves as a kill switch, where the wild-type phenotype can be restored by demand while a ku70 deficient strain would not survive in the environment. ",Utilization of methane emissions from meat industry. 
Duesseldorf,Europe,Agriculture,No,Fully Contained,No-unable,None,"If the stress-induced reporter plant or the engineered bacteria leave the lab accidentally, they would not be pathogenic or harm the environment even though P. syringae presents an invasive pest. The bacteria are not able to survive outside the lab.",Lateral flow test for early plants stress.
Edinburgh,Europe,In a factory,No,Fully Contained,NEI,None,"Disabled E. coli and B. subtilis strains are not expected to survive in the environment in competition with wild type strains and the DNA constructs transformed to the recipient engineered strains would offer no survival advantage in the wild, or introduce harmful genes, or gene products. Resulting genetically modified organisms should pose no greater threat to Health and Safety than the unmodified host organisms. Therefore, even autonomous spread of engineered organisms will not be harmful to the environment.","Turn recalcitrants into useful products, create a ""super grinder""."
EPFL,Europe,"Agriculture,Small enclosed device",Yes,Partially Contained,NEI,Physical containment,Very unlikely.,Bio-adsorbation of copper system 
Estonia_TUIT,Europe,"Human body or food,Cell-Free",Yes,Open release ,"No-contained,No-no-organisms",Killswitch,The genetically modified yeast may escape the production facility/bioreactor and end up in soil and/or sewage water. To mitigate this risk we will include multistep kill switch to ensure that GM yeast will die in the natural environment.,Tooth caries fighting system 
Evry_Paris-Saclay,Europe,"Only lab,Foundational",No,Fully Contained,NEI,None,Our engineered organisms would be unlikely to survive outside the lab environment. ,Tool for direct evolution of proteins
GO_Paris-Saclay,Europe,Small enclosed device,No,NEI,NEI,None,We used K12 DH5-alpha and Rosetta(DE3) strains of Escherichia coli. No further biocontainment strategy has been implemented.,Endometriosis detection system based on miRNAS
Greece_United,Europe,Human body or food,Yes,Fully Contained,No-unable,None,Our project concerns human cell lines. No engineered cells could spread autonomously in the environment. ,Ostearthritis haltting system
Groningen,Europe,"Only lab,Agriculture,Small enclosed device",No,NEI,No-contained,"Auxotrophy,Physical containment","Due to the auxotrophic genotype of our initial S. cerevisiae strain (BY4741), it will not be able to grow outside the lab. To further ensure this, we will create an enclosed device in which the GMO will be contained and cultured. The nitrogen source for our culture will be captured from livestock manure and from a separate device that captures the excess excreted ammonia in the barn. ",Reducing nitrgoen pollution from agriculture.
Hamburg,Europe,"Only lab,In a factory",No,Fully Contained,No-contained,Killswitch,"In theory the developed organisms could spread autonomously, but as they are only intended for use in laboratory or factory settings these organisms will always be subject to strict physical biocontainment procedures. If necessary these organisms could also be modified to contain a kill-switch or to be missing a vital metabolic pathway, making them dependant on specific growth-media.",Production of terpenoids
Heidelberg,Europe,Human body or food,Yes,NEI,No-contained,Killswitch,We considered a kill switch in our plasmid containing the phenylalanine lyase gene comparable to the project from 2020 in Fudan (https://2020.igem.org/Team:Fudan/Design/kill_switch). They tried to establish a toxin-antitoxin system that kills the bacteria when the temperature decrease from 37 degrees to 30 degrees (BBa_K3606028). This would allow to use the plasmid in vivo inside the intestine but when they are released in faeces to the environment they are killed by themselves and do not express the gene.,Fighting system for phenylketonuria.
Humboldt_Berlin,Europe,Human body or food,Yes,NEI,NEI,None,"If not handled properly, cells of our parental strain could possibly escape into the environment and grow there if conditions are appropriate. But our minicell-producing strain grows very slowly and would potentially be outcompeted by any other environmental bacteria anyway. And since our used Salmonella Typhimurium ATCC14028 MvP103 is classified as an organism of risk group 1 (BSL1), there is no risk to human health and the environment, according to the current state of scientific knowledge.",Salmonella thyphirium minicells to deliver anti-cancer peptides. 
IOANNINA,Europe,Agriculture,Yes,Partially Contained,NEI,Physical containment,"Our proposal for a possible application of our system is for it to be dried and sprayed to poultry manure right after it is collected and before the procedure of composting. As this would be a live bacterial organism that would contain genetically modified regions, we tried to make necessary changes to our initial thought to make it as safe as possible and to reduce the possibility of gene transfer in the environment. First of all, our final proposal is for it to be used in a contained, enclosed environment to reduce the possibilities of it escaping to the surrounding environment. As this would not be enough to ensure that our organism will not spread to its environment, we decided to use a kill switch mechanism that would destroy our bacteria once it has fulfilled its role of inactivating antibiotics in its environment. Specifically, we partnered with iGEM IISERxTirupati and together decided to apply to our project their kill switch mechanism of mf-lon protease that controls the action of a bpDNase1 with an mf-lon tag. This system is controlled in our design by TetR and MphR, two repressors of transcription regulated by the presence or absence of tetracyclines and macrolides respectively. This system can act as a safety mechanism to prevent our bacteria from spreading after there is no antibiotics left in the environment. Moreover, as we are using two enzymes that deactivate antibiotics we thought of a solution to minimize the occurrence of horizontal gene transfer of these 2 genes that could give antibiotic resistance to other organisms. Our design involves the integration of these two genes in the bacterial chromosome of our strain, something that will make the transfer of the genes much less likely to occur than if they were inserted into a plasmid. In the same basis, we have also designed the integration of our death gene(bpdnase1) into the chromosome while the mf-lon gene(antitoxin) would be carried on a plasmid to ensure that if the bacteria loses the plasmid in its lifespan, it would be immediately self-destructed by the activation of bpDNase1.",help reduce the antibiotic residues in chicken manure.
Ionis_Paris,Europe,"Consumer product,Small enclosed device,Biosensor",No,Partially Contained,No-contained,"Auxotrophy,Physical containment","As we want to develop a device that contains GMOs, we need to make sure that bacteria cannot spread into the environment accidentally. We aim to prevent this with 2 strategies :

- Multiple liquid-proof layers around our bacterial samples in the 3D design of our prototype
- Use auxotrophy mutants for our bacteria (E. coli and Shewanella oneidensis MR1) thanks to a knock-out of essential genes. This could be done by targetting amino-acid pathways with a knockout on specific genes (ex : target ArgA, involved in arginine production in E. coli). Auxotrophy mutations will not be developed during the 2021 iGEM competition but are necessary for the final development of the project.
",Sensor for Vitamin B12 in blood
Istanbul_Tech,Europe,"In a factory,Consumer product,Human body or food",Yes,NEI,NEI,None,There is no killswitch incorporated in our project. ,Increase Vitamin B12 production and decrease lithium ion waste 
Istanbul_United,Europe,Natural environment,Yes,Open release ,NEI,None," We do not think that the algae we are planning to work with will spread out of our control since we will be harvesting them in controlled environments, thus they will not reproduce in the marine environment.",Reduce heavy metal pollution 
KCL_UK,Europe,Human body or food,No,NEI,NEI,None," If our project were to be fully developed, our engineered organisms could not spread autonomously in the environment. ",Mussel foot protein production 
KU_Leuven,Europe,"Foundational,Digital or non-biological products ,Only lab,In a factory,Agriculture,Natural environment,Human body or food",Yes,Ambiguous,NEI,None,"BY-2 cultured Tobacco cells are expected to represent negligible risk to researchers, community and environment because they require specialist complex media for survival and growth, thus minimizing potential persistence in animal hosts and potential environmental penetration. Cultured plant cells are not expected to be able to interact with mammalian cells and possible viral or microorganism contaminants would also be expected to not be able to interact with mammalian hosts. The DNA parts to be introduced in the BY-2 cells target plant genes and therefore are not expected to enable BY-2 cells to survive outside its restricted growth conditions. We have taken utmost caution in working with these organisms by training members of the team (who had lab-based duties) with lab safety procedures and protocols. We have also used biosafety hoods while working with these organisms and followed the accepted standards for waste disposal.  ",We have developed and tested a platform based on a CRISPR-guided nickase and error-prone DNA polymerase complex called EvolvR that can diversify a user-defined genomic region.
Leiden,Europe,"Agriculture,Small enclosed device,Natural environment",No,Fully Contained,No-contained,Killswitch,"We designed our system to be safe by design, in accordance with principles from the RIVM (Dutch national institute of public health and environment). We hope to provide a platform which will minimize the risk of the synthetic genes to be spread in the environment. Therefore, in theory this risk is not applicable to a GMO with our system in place, since we have implemented parts in our plasmids which will act as kill switches so that both the genes cannot be transferred to naturally occuring bacteria via horizontal gene transfer and that the organism cannot proliferate out of the controlled environment. ",Toxin-antitoxin system 
Linkoping_Sweden,Europe,"In a factory,Agriculture",Yes,Partially Contained,No-contained,Physical containment,"We provide a solution to separate the bacteria from the desalinated water by exploiting the binding of carbohydrate-binding domains (CBDs) expressed on the cell surface to a cellulose membrane. If this was to make it to an industrial scale, the risks would involve the modified bacteria not being properly or completely separated from the water and released into nature.",exploit the photosynthetic and halophilic properties of the cyanobacteria Synechosystis sp. PCC 6803 so that it can successfully desalinate seawater.
LMSU,Europe,"In a factory,Consumer product,Agriculture,Human body or food,Other",No,NEI,NEI,None,"Yes, our final A. platensis strain is capable of growing in the natural environment. However, we intend to create a bioproduction solution for the space application, where it is pretty much impossible for a phototrophic algae to propagate anywhere other than in a specifically designed bioreactor. ","introduce a novel chassis for the synthetic biology community, which is based on a cyanobacteria Arthrospira platensis B-256 strain."
Lund,Europe,"Consumer product,Human body or food",Yes,Open release ,Yes-possible,None,"Our Limosilactobacillus reuteri DSM20016 might be able to survive a short period in the environment, but we deem it not to be competitive compared to other microorganisms and we don't expect it to be able to spread. We have chose not to use any kill switches because we deem our bacteria to not be dangerous enough to warrant such a measure, but this could be an option if needed. ",Limosilactobacillus reuteri will be engineered to disrupt the production of biofilm from bacteria in our intestines.
MADRID_UCM,Europe,"In a factory,Agriculture",No,Fully Contained,NEI,None,"The development of the project does not contemplate the possibility of releasing our bacteria into the environment. 

Therefore the release of the bacteria could be considered an accident, containment measures such as closed reactor cultures are contemplated. ",We believe in shifting the current biomass production-harvesting-processing paradigm for a simpler and more sustainable approach
Manchester,Europe,Human body or food,Yes,Open release ,No-contained,Killswitch,"No, our kill-switch mechanism is designed to kill our chassis system if exposed to non-optimal conditions (outside the urinary tract). The kill-switch will prevent the bacteria from spreading into the external environment. The kill-switch was chosen so that the bacterial survival was dependent on the attachment to the cellulose coating as cellulose is not present in human tissues, so that an infection due to our organism is unlikely.",generate patient-specific anti-urinary tract infection functions.
Marburg,Europe,"Only lab,Agriculture,Cell-Free",No,Fully Contained,No-no-organisms,None,"Our cell free systems are not able to reproduce in the natural environment as all cell replication machinery is destroyed during the creation. While our in vivo chloroplast engineered plants posses unique biocontainment properties, they could still spread when being introduced to the environment and therefore we are taking every possible precaution to prevent this. If seeds should be gathered from any engineered plants we obtain, we will do so according to the instructions of the plant physiology group we are working in, as they are already experienced in the handling of transgenic plants. In past studies it has been shown that DNA found in the chloroplast might be able to escape the chloroplast and spread via pollen (Ruf et al. 2007) or be integrated into the nucleus of the plant (Stegemann et al. 2003). Therefore, all plants will be grown in a contained environment and we will pay attention to any flowering events in order to prevent escape of pollen.",the creation of various cell free systems from chloroplasts of different plant species
MEPhI,Europe,Human body or food,Yes,NEI,No-contained,Auxotrophy,"Our security system has several levels of control. First, all biologically active components of genetic constructs will be under the control of an inducible arabinose promoter. Secondly, a cold promoter from plants will be additionally included in the composition of all plasmids that will be tested in mice, which activates the digestion of the plasmid by a specific DNase when the temperature is lowered (that is, when the construct leaves the mammalian body). In addition, in the future, we plan to use bacterial lines that are not adapted to exist outside the mammalian body.",Producing human radioprotective proteins and micro RNA under the control of an arabinose-inducible promoter P(BAD). 
MIPT_MSU,Europe,"Only lab,Other",No,Fully Contained,No-unable,None,No.Human cell cultures cannot exist autonomously in the environment,new method of targeted RNA delivery to tumour cells using membrane-derived extracellular vesicles with built-in fusion proteins
Moscow,Europe,"Only lab,Other",No,Fully Contained,NEI,None,"No, it wasn't. The test system will contain the purificated protein and oligonucleotide only.",Production of dCas9 protein fused with reporter protein
Moscow_City,Europe,"Consumer product,Agriculture,Small enclosed device",No,Fully Contained,NEI,None,Our CRISPR/Cas test system will contain the protein only on paper sheets. ,Our project is about the diagnosis of equine herpesviruses by using CRISPR/dcas13a.
MSP-Maastricht,Europe,"Agriculture,Field Use",Yes,Open release ,No-contained,Killswitch,"We will develop organisms that can produce bromoform in the rumen of cows that will lead to an inhibition of the cow's natural methanogenesis. The plan is to use (risk level 1) E. coli as the host/chassis. We are developing methods to prevent environmental spread by using kill-switches or develop organisms to only survive the specific conditions of the cow's rumen. We have created, in a dry lab setting, 2 different types of kill switches; one contains a specific reactive oxygen species (ROS) promoter that will only produce the bromoform producing proteins when the ROS like H2O2 is present. Another will regulate the organism so that it can only survive and function in the rumen of the cow, this is also regulated by the production of H2O2 (ROS)",Production of bromoform in bacteria (methyltransferase inhibitor)
MTU-CORK,Europe,Other,Yes,NEI,NEI,None,No,Bioremediation of perchlorate in mars and earth soil.
Nantes,Europe,"In a factory,Agriculture",No,Fully Contained,NEI,None,"We will work in enclosed conditions to avoid the release of Ulva sp in the environment. Moreover,our biological wastes will be treated by our host laboratory accordingly to official safety measures.",Acceleration of the biodegradation process for Ulva spp. 
Navarra_BG,Europe,Other,Yes,NEI,NEI,None,"No, because we will develop our project with Arabidopsis plants in confined conditions. All vegetal material produced in this project will be destroyed after use.",Plants that sunscreen? Aimed for use in deep space. 
NAWI-Graz,Europe,"Agriculture,Natural environment",Yes,NEI,Yes-possible,None,Yes.,Phosporus biosensor to promote growth on soil bacteria. 
NOVA_LxPortugal,Europe,In a factory,No,Fully Contained,No-contained,Killswitch,"Our project is not on that stage yet. For now the only biosafety strategy present in our system is the presence of an antibiotic resistance marker in our plasmids. In the wild, the lack of the antibiotic would lead to the elimination of those plasmids. Obviously, on a later stage we envision the incorporation of a kill switch to our system.",B. subtilis to degradade plastics.
NTNU-Trondheim,Europe,"Small enclosed device,Biosensor",Yes,Partially Contained,NEI,None,"As of now, no special biosecurity safeguards have been adopted into our project; however, if the project were to be moved outside of the lab, we would investigate this point. If the growing conditions were favourable, E. coli may spread into the environment. however, none of the modifications we intend to introduce to E. coli are expected to improve the bacteria's fitness.",Biosensor for hydrogen sulfide in aqueous solution. 
Paris_Bettencourt,Europe,"Only lab,In a factory,Agriculture",Yes,NEI,No-unable,None,"If the project was to be fully developed, additionally to minicells non-replication properties, the plasmids used are under inducible promoters, which means no horizontal transfer would happen.",Proposing use of minicells as safer protein expression systems outside the lab. 
Patras,Europe,Other,No,Fully Contained,No-unable,None,"No, if our project was fully developed, no engineered organisms or parts could be spread autonomously in the environment.",Characterization of the impact from genomic variants 
Phystech_Moscow,Europe,Digital or non-biological products ,No,Fully Contained,No-no-organisms,None,"Our project is a software tool, but we plan to conduct experiments with mammalian cell lines for validation of tool's predictions. Mammalian cell culture is not capable of surviving in the wild.",RNA-microRNA interaction prediction testing.
RUBochum,Europe,"In a factory,Consumer product,Agriculture,Human body or food",No,Fully Contained,NEI,None,No,"Production of multiple milk proteins, ingredients and aromas."
Saint_Joseph,Europe,"In a factory,Cell-Free",No,Fully Contained,No-no-organisms,None,"Any of the organisms or parts are not the final products. The final product of this Project, enzyme protein, could not spread autonomously.",Production of endoglucanases  for degradation of towels and toilet paper.
SDU-Denmark,Europe,"In a factory,Other",No,Fully Contained,NEI,None,"The aim of this project is to modify organisms that should be contained inside a bioreactor, in a controlled laboratory enviroment, therein reducing the potential risk of releasing GMO's into the enviroment. Also, our strain ER2566 can only survive in a laboratory setting, which further decreases the risk of enviromental contamination. Furthermore, our purpose of this project is to enable researchers economically and safely to benefit from incorporating ER2566 into a bioreactor.",Production of psilocybin 
Siberia,Europe,"Foundational,Only lab,Human body or food",No,Fully Contained,NEI,None,"If our project had been fully developed we would have designed a temperature-dependent kill switch system. At current stage, however, it is not necessary.","ability of LMWP to facilitate the transfer of bacteria-secreted proteins, fused to it. Secondly, the project itself is a basis for further improvement of this particular LEAP-2 secreting bacterial system, which will act as a living therapeutic for curing obesity. "
Sorbonne_U_Paris,Europe,Other,Yes,Partially Contained,Yes-possible,None,"It could spread accidentally in the environment even though it is meant to stay in close system. If it spreads in the environment, it won't induce any issues as the strain is not dangerous per se.",Production of long duration food for space travelers. 
Stockholm,Europe,"Consumer product,Small enclosed device,Cell-Free",Yes,Partially Contained,No-no-organisms,None,"No, our biosensor does not contain any engineered organism. The aptamers conjugated to the PCDA vesicles shouldn't be considered hazardous since nucleases and other enzymes could easily degrade them.",Quantitative rapids test in skin microbiome to detect dysbiosis.
Stuttgart,Europe,"In a factory,Consumer product,Cell-Free",No,Fully Contained,No-no-organisms,None,"No, because we only would use the protein.",express the protein DSUP from tardigrades and find a way to use it as a radiation protection for surfaces or skin.
St_Andrews,Europe,"In a factory,Consumer product,Natural environment,Human body or food",Yes,Open release ,No-contained,Killswitch,"Our shinorine-producing bacteria presents both biosafety and biosecurity risks including the escape of the bacteria into the surrounding environment (the environment being anywhere except the skin surface), and horizontal gene transfer of our synthetic constructs to other skin microbes. We would make use of a kill switch mechanism which has a novel two plasmid dependency design and complex light-sensing system to terminate bacterial survival when UV protection is no longer required. Our bacteria will cease to survive when it runs out of glucose as a food source, or when light is no longer present. ",Expression of UV protection protein
SZTA_RMG_Szeged,Europe,"Only lab,Consumer product,Small enclosed device,Cell-Free",Yes,NEI,No-no-organisms,None,"No, as we described above we'll use only small amount of enzymes and nucleic acids, therefore it has a low risk that the kit content itself can be spread and therefore seriously harmful to the environment. On the other hand, living organisms in the evaluated samples may have a spreading ability, therefore the destroy of the samples and reaction mixtures should carefully carried out as it has been described in point 14. ",Detection of kidney cancer
Thessaloniki,Europe,"Consumer product,Small enclosed device,Other",Yes,Partially Contained,NEI,None,"In a fully developed form, our project would consist of a device that would measure the quantity of miRNAs in the urine sample inserted in the device. For this purpose two reactions need to take place. Firstly, the amplification of the selected miRNAs and secondly, the binding of the miRNAs to the toehold switches and subsequently, the production of eGFP.",in vitro diagnostic device for the early detection of Pancreatic Ductal Adenocarcinoma (PDAC).
Thessaly,Europe,"Only lab,Consumer product,Agriculture,Small enclosed device,Human body or food",Yes,Open release ,No-contained,"Physical containment,Killswitch","
Our fully developed project includes 2 products, a capsule containing bacteria for the detection of SCFAs and an engineered probiotic for production of SCFAs.

Capsule: The engineered bacteria will be contained from the capsule s borders. The capsule is not degradable and the bacteria do not come in contact with the human gut or the environment. After the capsule is excreted to stool, the bacteria will die from starvation because we have designed a ddapA strain that can not duplicate without dap and dies from starvation within 2 days. 
In advance, If the capsule brakes, there is an inner layer of the capsule that brakes first, containing L- Arabinose. L-Arabinose comes in contact with the bacteria and the kill-switch is activated. L-Arabinose induction systems are well characterised.
Probiotic: The engineered probiotic will survive only in <<gut conditions>>. We will utilize the tryptophan existing in the gut for a kill-switch suppressed by tryptophan. The bacteria will be produced in the lab of pharmaceutical companies with the supplementation of tryptophan. The final product is proposed to be Greek yogurt, rich in tryptophan. In a case of leakage, outside the gut, bacteria will not survive lacking tryptophan. 

Parts: All engineered bacteria will have their parts integrated in their genome, followed by selection marker recycling. So, after the bacterial death, the chromosomes are naturally shredded and the chance of parts being transferred to other organisms is significantly lower than when in a plasmid.",Testing fermentative capacity of human gut microbiota
Thrace,Europe,"Consumer product,Small enclosed device,Cell-Free,Biosensor",Yes,NEI,No-no-organisms,None,"No, the parts used in our cell-free system will not be able to spread autonomously and are expected to quickly degrade.",Detection of colorectal salivary cancer biomarkers.
Toulouse_INSA-UPS,Europe,In a factory,No,Fully Contained,No-contained,Auxotrophy,"The cyanobacteria Synechococcus elongatus UTEX 2973 is highly dependent of lab conditions. Even if it is prototrophic, the likeness of its escape in the wild is low.
The Saccharomyces cerevisiae strain possesses multiple auxotrophic markers such as LEU2, HIS3 and TRP1, so it is very unlikely to spread in the environment.",synthetically recreate the violet perfume since the violet flower is the symbol of our Toulouse city and since its perfume is extremely complex to extract.
TU-Eindhoven,Europe,"Human body or food,Biosensor",Yes,NEI,No-contained,Killswitch,"It is of high importance to regulate when and where the GMOs are alive or not. To do so, a kill switch can be incorporated into the plasmid design. Kill switches are genetic circuits that, depending on the environmental conditions, selectively eliminate GMOs. In this way, it can be ensured that bacteria are only alive in a defined area, in our case the human gut and inside the pill, and cannot escape into the environment. Kill-switches can be based on several environmental conditions, e.g. pH and temperature.[1,2]  
To assess which kill switch suits our system best, we must first identify where we want our GMOs to function, and where we want them to die. We thought of the specific environmental conditions that are present inside the gut of IBD patients. The first thing we came up with was the high variety of pH levels inside the gastrointestinal (GI) tract. The pH in the terminal ileum and colon is in general higher than in other regions of the GI tract. Therefore, a pH-dependent kill switch was our first option. However, it was soon rejected as the pH levels vary a lot inside the colon of IBD patients. [3]
[5] Therefore, the oxygen-dependent kill switch is a potential candidate that can be incorporated into the plasmid design in future research. This kill switch reduces hazards by ensuring cell death once the bacteria are released into the outside world. Due to time restrictions, we were not able to do it ourselves. 
It is of high importance to regulate when and where the GMOs are alive or not. To do so, a kill switch can be incorporated into the plasmid design. Kill switches are genetic circuits that, depending on the environmental conditions, selectively eliminate GMOs. In this way, it can be ensured that bacteria are only alive in a defined area, in our case the human gut and inside the pill, and cannot escape into the environment. Kill-switches can be based on several environmental conditions, e.g. pH and temperature.[1,2]To assess which kill switch suits our system best, we must first identify where we want our GMOs to function, and where we want them to die. We thought of the specific environmental conditions that are present inside the gut of IBD patients. The first thing we came up with was the high variety of pH levels inside the gastrointestinal (GI) tract. The pH in the terminal ileum and colon is in general higher than in other regions of the GI tract. Therefore, a pH-dependent kill switch was our first option. However, it was soon rejected as the pH levels vary a lot inside the colon of IBD patients. [3]Then, we thought of the bacteria already living inside the human gut. Knowing that the gut microbiota largely consists of anaerobic bacteria, it was inferred our GMO should fit these oxygen-deprived conditions. Over 90% of the total number of bacteria constitute anaerobic bacteria. The anaerobic environment in the gut is essential to maintain bacterial growth and nutrition production.[4] As the environment is rich and the human gut sparse in oxygen, a kill switch dependent on the oxygen level might suit our project. We found an article in which the authors studied the cytochrome o and d oxidase gene expression in E.coli under anaerobic and aerobic conditions. It turned out that the organism was able to survive better under oxygen-deprived conditions, as is found in the human gut.[5] Therefore, the oxygen-dependent kill switch is a potential candidate that can be incorporated into the plasmid design in future research. This kill switch reduces hazards by ensuring cell death once the bacteria are released into the outside world. Due to time restrictions, we were not able to do it ourselves.[1] Stirling, F., Bitzan, L., O'Keefe, S., Redfield, E., Oliver, J., Way, J., & Silver, P. A. (2017). Rational Design of Evolutionarily Stable Microbial Kill Switches. Molecular cell, 68(4), 686-697.e3. https://doi.org/10.1016/j.molcel.2017.10.033[2] Stirling, F., Naydich, A., Bramante, J., Barocio, R., Certo, M., Wellington, H., Redfield, E., O'Keefe, S., Gao, S., Cusolito, A., Way, J., & Silver, P. (2020). Synthetic Cassettes for pH-Mediated Sensing, Counting, and Containment. Cell reports, 30(9), 3139-3148.e4. https://doi.org/10.1016/j.celrep.2020.02.033[3] Hua S. (2020). Advances in Oral Drug Delivery for Regional Targeting in the Gastrointestinal Tract - Influence of Physiological, Pathophysiological and Pharmaceutical Factors. Frontiers in pharmacology, 11, 524. https://doi.org/10.3389/fphar.2020.00524[4] Roediger W. E. (1980). Anaerobic bacteria, the colon and colitis. The Australian and New Zealand journal of surgery, 50(1), 73-75. https://doi.org/10.1111/j.1445-2197.1980.tb04500.x[5] Cotter, P. A., Chepuri, V., Gennis, R. B., & Gunsalus, R. P. (1990). Cytochrome o (cyoABCDE) and d (cydAB) oxidase gene expression in Escherichia coli is regulated by oxygen, pH, and the fnr gene product. Journal of bacteriology, 172(11), 6333-6338. https://doi.org/10.1128/jb.172.11.6333-6338.1990",detect Tetrathionate in the intestine.
TUDelft,Europe,"Small enclosed device,Biosensor,Cell-Free",Yes,Fully Contained,No-no-organisms,None,"We avoid using organisms in our fully developed device by using cell-free systems to express a colorimetric read-out to detect the vitamins. Therefore there is no risk of organisms spreading into the environment. However, the cell-free system including the plasmids containing the reporter gene could end up in nature. But the plasmids are in such a low concentration that the transferability rate of the genetic material is trivial. ","vitamin biosensor to detect vitamin B1, B2, B6, B9 & B12 deficiencie"
TU_Darmstadt,Europe,"In a factory,Agriculture",No,NEI,No-contained,Killswitch,"Our genetically modified organisms will have a significant growth disadvantage due to their high metabolic burden that most likely won't be compensated by their ability to sense and kill pathogens.Also, we want to establish a kill switch system for bacteria leaving the biofilm community to hinder their spread. Selective pressure due to synthetic antibiotic resistances can be denied by deleting the corresponding genes after genomic integration e.g by the Cre recombinase system in our kill switch. 

Still, we had to examine the problems of GMO release in more detail and add additional safety levels to our systems.",Phage mediated Immune Response by Recognizing Defensive Sleeper Cells.
 Tuebingen,Europe,"Agriculture,Human body or food,Field Use",Yes,Open release ,Yes-possible,None,"Yes, the engineered tobacco (Nicotiana benthamiana) plants could spread autonomously in the environment under fitting climate conditions (they are not frost-tolerant).",express antibacterial peptides in a cyclotide-precurso
